id_cliente,nome,email,criado_em
1,João Pereira,joãopereira@email.com,2020-11-13
2,Ana Mendes,anamendes@email.com,2020-06-03
3,João Lima,joãolima@email.com,2020-03-20
4,Julia Costa,juliacosta@email.com,2020-10-14
5,Gabriel Fernandes,gabrielfernandes@email.com,2020-04-23
6,Rafaela Oliveira,rafaelaoliveira@email.com,2020-03-28
7,Carlos Silva,carlossilva@email.com,2020-03-11
8,Pedro Oliveira,pedrooliveira@email.com,2020-04-10
9,Carlos Rodrigues,carlosrodrigues@email.com,2020-09-21
10,Ana Mendes,anamendes@email.com,2020-05-02
11,Ana Almeida,anaalmeida@email.com,2020-10-17
12,Rafaela Lima,rafaelalima@email.com,2020-11-09
13,Maria Rodrigues,mariarodrigues@email.com,2020-02-27
14,Ana Almeida,anaalmeida@email.com,2020-01-24
15,Lucas Mendes,lucasmendes@email.com,2020-05-28
16,Lucas Costa,lucascosta@email.com,2020-07-23
17,Maria Rodrigues,mariarodrigues@email.com,2020-06-12
18,Maria Almeida,mariaalmeida@email.com,2020-08-12
19,Rafaela Almeida,rafaelaalmeida@email.com,2020-12-11
20,Lucas Oliveira,lucasoliveira@email.com,2020-09-01
